Here is the M-PESA statement in a table format with the year changed to 2024:

**2025 MPESA STATEMENT**

**NAME:** WAMBUI KARANJA MIRIAM
**PHONE NUMBER:** 0710617776

| Date       | Payee                    | Amount (KES) | Notes                  |
|------------|-------------------------|--------------|-------------------------|
| 2025-04-28 | Employer Ltd.           | 75000.00     | Salary payment         |
| 2025-04-29 | Naivas Supermarket      | 3200.00     | Monthly groceries       |
| 2025-04-30 | Uber                     | 450.00      | Ride to work           |
| 2025-04-31 | Safaricom               | 1500.00     | Internet & airtime top-up|
| 2025-05-01 | GymPro Fitness          | 2500.00     | Monthly gym membership |
| 2025-05-02 | Java House              | 850.00      | Coffee and snacks      |
| 2025-05-03 | Freelance Client        | 10000.00    | Web development gig   |
| 2025-05-04 | QuickMart                | 1800.00     | Household supplies      |
| 2025-05-05 | Zuku                     | 2400.00     | Home internet bill     |
| 2025-05-06 | County Parking          | 300.00      | Parking fee             |
| 2025-05-07 | Netflix                  | 1100.00     | Monthly subscription   |
| 2025-05-08 | Tuskys                   | 2600.00     | Weekly groceries        |
| 2025-05-09 | Mpesa Refund            | 1500.00     | Refund from friend       |
| 2025-05-10 | Uber                     | 600.00      | Errands                |
| 2025-05-11 | NHIF                     | 500.00      | Monthly contribution   |
| 2025-05-12 | KCB Bank                 | 5000.00     | Loan repayment         |
| 2025-05-13 | Gikomba Market          | 1500.00     | Clothing shopping       |
| 2025-05-14 | Facebook Ads             | 3000.00     | Business promotion      |
| 2025-05-15 | YouTube Partner Prog.    | 4300.00     | Content earnings       |
| 2025-05-16 | Local Eatery            | 650.00      | Lunch with friends      |
| 2025-05-17 | Spa and Wellness        | 3000.00     | Self-care session      |
| 2025-05-18 | Carrefour                | 2800.00     | Groceries               |
| 2025-05-19 | Electricity Company    | 2200.00     | Monthly power bill      |
| 2025-05-20 | Bookstore                | 1300.00     | Bought 3 books          |
| 2025-05-21 | Jumia                    | 4200.00     | Electronics purchase   |
| 2025-05-22 | Local Bakery            | 500.00      | Birthday cake           |
| 2025-05-23 | Mpesa Transfer          | 1500.00     | Sent to parents        |
| 2025-05-24 | Freelance Gig           | 8500.00     | App UI design          |
| 2025-05-25 | Safaricom               | 700.00      | Airtime top-up         |
| 2025-05-26 | Hospital Bill           | 3200.00     | Outpatient treatment   |
| 2025-05-27 | Local Cinema            | 800.00      | Weekend movie          |
| 2025-05-28 | Employer Ltd.           | 75000.00     | Salary payment         |
| 2025-05-29 | Uber                     | 400.00      | Ride to meeting        |
| 2025-05-30 | Mpesa Transfer          | 2000.00     | Family support         |
| 2024-05-01 | Java House              | 900.00      | Coffee meeting         |
| 2024-05-02 | NHIF                     | 500.00      | Monthly contribution   |
| 2024-05-03 | TikTok Creator Fund     | 2500.00     | Video content revenue |
| 2024-05-04 | Online Store            | 2300.00     | Home decor purchase    |
| 2024-05-05 | Jumia Food              | 1200.00     | Lunch order            |
| 2024-05-06 | Power Company           | 2100.00     | Electricity bill       |


